Depth,GR,MUD_VOLUME,TVD
1741.1897,110.169,0.8217,1741.1897
1741.3396,105.9857,0.7987,1741.3396
1741.4895,102.4581,0.7792,1741.4895
1741.6394,100.1332,0.7699,1741.6394
1741.7893,100.0739,0.7709,1741.7893
1741.9392,101.6461,0.7753,1741.9392
1742.0891,102.8447,0.7753,1742.0891
1742.239,102.6684,0.7683,1742.239
1742.3889,101.1744,0.746,1742.3889
1742.5388,98.671,0.7040000000000001,1742.5388
1742.6887,96.5742,0.5961,1742.6887
1742.8386,97.198,0.3941,1742.8386
1742.9885,101.2149,0.397,1742.9885
1743.1384,106.3703,0.5362,1743.1384
1743.2883,110.4676,0.7482,1743.2883
1743.4382,114.1489,0.8191,1743.4382
1743.5881,119.3293,0.8671,1743.5881
1743.7379999999996,126.5625,0.9018,1743.7379999999996
1743.8879,134.1458,0.9351,1743.8879
1744.0378,139.5624,0.9109,1744.0378
1744.1877,141.4332,0.8804,1744.1877
1744.3376,140.3002,0.8603,1744.3376
1744.4875,138.1586,0.8512,1744.4875
1744.6374,136.2186,0.7362,1744.6375
1744.7873,134.411,0.7404,1744.7874
1744.9372,132.528,0.7511,1744.9373
1745.0871,131.0396,0.7808,1745.0872
1745.237,131.2036,0.8525,1745.2371
1745.3869,133.234,0.8709,1745.3868
1745.5368,135.2458,0.8571,1745.5367
1745.6867,135.3456,0.7809999999999999,1745.6866
1745.8366,134.0706,0.6672,1745.8365
1745.9865,132.5571,0.6272,1745.9865
1746.1364,130.2389,0.568,1746.1364
1746.2863,127.666,0.5401,1746.2863
1746.4362,126.591,0.536,1746.4362
1746.5861,125.9319,0.5416,1746.5861
1746.736,120.7993,0.5412,1746.736
1746.8859,113.0138,0.5262,1746.8859
1747.0358,118.036,0.5584,1747.0358
1747.1857,122.1912,0.5955,1747.1857
1747.3356,125.175,0.6467,1747.3356
1747.4855,128.5375,0.6724,1747.4855
1747.6354,131.2089,0.7051,1747.6354
1747.7853,133.1333,0.7481,1747.7853
